task_id,1,2,3,4,5,6,7,8,9,10
0,339,310,212,253,275,132,52,156,63,283
1,110,343,125,336,102,141,104,294,105,179
2,211,277,256,241,302,346,150,300,51,210
3,38,99,40,96,103,84,347,312,276,285
4,37,92,173,262,121,260,54,224,231,42
5,196,328,154,215,71,282,175,214,127,237
6,152,218,13,314,295,228,341,90,80,264
7,222,243,223,203,301,172,146,85,230,148
8,82,293,192,97,324,136,163,73,142,89
9,128,195,279,335,67,59,182,186,161,87
10,191,1,207,271,254,60,62,305,160,70
11,321,244,249,245,64,31,158,205,239,68
12,307,113,258,72,48,120,334,252,199,44
13,316,227,290,201,17,319,122,184,36,331
14,187,20,21,108,58,157,236,39,216,340
15,66,30,2,306,83,47,23,107,133,226
16,311,35,257,0,259,26,28,123,144,95
17,138,181,326,124,255,32,151,14,177,119
18,55,193,3,313,165,117,88,115,109,7
19,94,250,25,315,149,267,238,46,225,303
20,43,345,167,75,135,202,27,320,78,190
21,86,69,200,284,33,333,337,309,34,159
22,185,12,101,111,263,145,81,41,9,251
23,22,130,221,134,348,289,129,229,281,16
24,299,330,206,171,323,325,318,198,49,29
25,270,213,61,317,188,137,208,287,217,204
26,338,286,168,98,57,112,291,248,273,219
27,169,176,126,304,269,280,45,8,147,131
28,116,153,162,342,344,155,296,4,24,278
29,266,268,232,183,139,174,53,100,164,118
30,332,265,261,6,329,11,327,297,5,79
31,288,246,322,93,308,143,91,76,272,234
32,140,235,274,77,242,170,106,166,247,292
33,233,220,240,65,19,56,189,50,114,15
34,298,197,209,10,180,194,178,350,349,74
35,70,110,21,329,15,278,94,49,149,96
36,48,265,32,30,142,129,137,58,43,208
37,207,83,146,181,134,179,204,196,279,78
38,10,284,113,244,128,193,111,205,139,46
39,67,214,17,346,292,4,125,51,5,63
40,247,112,11,6,245,289,293,253,235,35
41,135,47,332,54,310,199,87,56,97,345
42,242,301,60,76,82,188,269,309,182,241
43,106,53,304,42,73,173,44,246,312,315
44,197,256,243,172,316,306,327,237,127,314
45,132,9,180,231,161,189,341,171,85,254
46,124,277,169,59,255,290,252,27,229,288
47,211,176,308,29,16,282,102,41,321,28
48,302,140,92,8,99,64,232,234,307,118
49,280,262,79,143,148,2,260,86,258,273
50,270,296,194,286,107,274,31,114,19,77
51,23,74,295,223,154,131,335,167,222,187
52,268,88,141,100,239,209,236,192,81,233
53,52,297,325,185,156,14,217,155,264,219
54,190,330,91,12,104,267,177,105,300,40
55,175,89,33,248,201,36,166,145,216,157
56,90,305,344,283,342,38,13,80,257,266
57,311,1,218,147,39,331,320,93,240,227
58,178,349,225,165,84,313,336,151,226,163
59,160,350,303,168,95,340,338,221,45,153
60,101,0,123,174,261,318,98,215,66,249
61,109,238,61,152,224,317,116,263,57,164
62,108,20,202,120,119,133,251,324,130,186
63,210,347,343,191,75,144,337,117,328,162
64,198,299,276,71,339,3,34,62,24,259
65,103,326,213,200,228,159,136,150,26,50
66,195,25,184,37,333,281,69,22,230,294
67,65,322,272,287,68,291,138,275,319,7
68,72,212,126,203,121,122,298,285,220,55
69,271,334,183,170,348,323,206,158,250,115
70,253,230,55,193,212,236,30,235,294,248
71,350,107,189,161,179,205,125,233,13,106
72,34,3,160,37,87,340,303,111,258,334
73,232,78,324,152,74,306,275,226,174,327
74,119,70,144,244,339,218,219,197,33,155
75,117,322,186,312,113,50,202,166,141,238
76,28,108,22,124,116,256,92,281,213,241
77,188,265,115,104,169,162,17,320,158,225
78,157,24,310,65,100,54,146,95,344,270
79,257,273,183,167,40,153,274,101,73,247
80,86,196,271,249,297,2,89,26,135,198
81,1,58,0,182,122,272,313,133,206,349
82,53,151,46,44,76,99,329,284,315,69
83,268,280,252,147,148,140,85,4,177,199
84,263,231,295,139,123,262,164,336,307,82
85,215,31,156,143,318,283,296,42,23,254
86,341,317,66,149,61,348,59,131,20,323
87,338,12,309,286,110,127,194,184,328,98
88,267,203,137,216,214,266,300,200,291,19
89,120,242,192,276,9,288,96,94,48,138
90,25,21,337,255,109,191,114,150,77,260
91,80,173,64,190,112,102,15,221,282,224
92,67,243,105,7,91,47,132,68,217,83
93,29,278,159,176,134,269,209,228,72,16
94,246,165,220,201,180,51,11,301,52,343
95,38,204,298,163,145,168,305,229,49,259
96,222,93,142,8,97,277,345,325,27,10
97,321,154,210,331,237,41,136,175,103,14
98,299,227,172,32,43,240,245,251,39,319
99,330,181,333,211,308,314,304,342,35,250
100,293,62,289,195,36,6,88,90,264,208
101,185,239,171,128,234,45,126,170,84,118
102,71,290,207,81,287,56,79,187,292,129
103,332,57,75,178,261,279,316,335,302,285
104,223,346,121,130,60,347,5,63,326,311
105,133,324,100,340,172,25,147,136,287,37
106,24,265,334,112,257,19,29,281,201,312
