pair_id,bach_id,mock_id,mock_model,bach_grade,mock_grade,bach_is
0,45,230,base,38.14109515039323,21.7777102756777,b
1,257,173,base,37.515437007288725,35.20986207236575,a
2,77,337,base,35.36751387320524,28.221725196021108,a
3,32,50,base,38.74375541240988,-13.1952571434286,b
4,221,61,base,31.354494067178784,36.31517690030034,a
5,281,45,base,39.504768035930155,39.86329786730591,b
6,243,35,base,38.44208047838895,25.6872902019894,b
7,180,114,base,38.07770456388398,22.983372948140786,a
8,277,217,base,38.41850406545869,36.817760028145635,a
9,136,201,base,38.882796011394596,29.94550596485933,a
10,324,0,base,36.1811704421164,-1.367937803342521,a
11,163,104,base,35.512560000985715,-932.3118614919003,a
12,123,143,base,39.470286760544745,37.07912389191881,b
13,315,135,base,39.19519820773266,34.59774040151999,b
14,41,159,base,38.19593661019767,34.120235462840995,b
15,54,222,base,39.488474795289996,28.92866339782167,b
16,17,133,base,38.57559580563519,36.79057205084233,a
17,309,269,base,39.12267524054043,33.66612558278947,a
18,170,75,base,34.89830061805152,37.847822960642326,a
19,90,304,base,36.23370676419081,3.1534966687143964,a
20,206,58,base,37.22213249021001,24.51179372915459,b
21,121,65,base,36.93121479080784,26.153318976429826,a
22,104,51,base,40.41104707560067,35.84690895817742,a
23,340,189,base,37.578004585575925,36.619420673834696,a
24,43,218,base,35.466730125098366,36.21658162664463,b
25,228,223,base,39.12267524054043,37.957995573635046,b
26,211,111,base,39.395940949005336,34.01957601343757,a
27,220,275,base,39.33215101158043,-48.55798751426494,b
28,306,312,base,35.03897650376335,31.345844394606818,a
29,94,323,base,35.56194156872987,30.273971291255823,b
30,217,140,base,33.453246546938246,29.633309505715875,b
31,86,298,base,37.791601163236386,6.650660319243463,a
32,319,268,base,36.6814076464849,34.017928548220375,a
33,203,350,base,39.367179926063706,36.1743734019755,b
34,15,129,base,38.88055663834802,30.891053272588906,b
35,44,165,base,32.50084641817719,-16.324789880403518,a
36,334,256,base,38.85377621386752,33.30024373378706,a
37,308,19,base,36.68302120707654,-13.9007756510374,b
38,207,55,base,39.74223715590194,27.39373693789778,a
39,238,68,base,35.424120562486785,22.68811030400317,b
40,37,15,base,35.33958084881874,-12.719777673148856,a
41,105,192,base,38.918963008765395,27.62607324623519,b
42,225,314,base,40.07339724448251,36.5123947892979,b
43,164,291,base,34.754410788004634,31.836550001341788,a
44,98,49,base,36.585464223405104,36.48234717681035,a
45,275,32,base,38.07500569716663,-147.901691913966,a
46,224,70,base,39.182300642176145,31.33161236370665,b
47,118,21,base,36.1762225312921,-932.3118614919003,b
48,326,233,base,39.758830981685755,-932.3118614919003,a
49,112,251,base,36.37567863506958,35.923637255279964,a
50,79,336,base,37.142893268965715,18.824845364090287,a
51,285,82,base,25.734882569164103,24.293649027652048,a
52,160,341,base,37.89001485074033,16.81859888000819,a
53,317,235,base,37.765578331121176,33.08209045067661,b
54,108,271,base,37.77761031805736,34.22444150318522,a
55,239,64,base,39.397787673698026,33.44514609574114,a
56,183,144,base,38.253687351769,31.730616486191014,b
57,134,17,base,34.90765614517633,40.06788647556589,a
58,6,154,base,40.02780433173968,-34.308270110787575,b
59,237,262,base,35.87834487349751,38.90178573915147,b
60,75,342,base,37.137414779282814,35.243454107762915,a
61,7,207,base,27.57691628576775,24.68498319002148,b
62,55,236,base,39.55090670507468,27.335521065944857,b
63,260,139,base,39.39707118861558,39.25847854090448,a
64,95,80,base,39.2935996101962,16.83268756577999,b
65,130,345,base,37.543059432323396,38.969055490397785,b
66,40,127,base,22.393913273105998,15.731908727536911,b
67,124,145,base,20.233687726223856,37.87697290665414,a
68,341,328,base,39.523478825947905,29.197603402005328,b
69,101,26,base,36.3910177707091,21.851110093369666,b
70,125,260,base,37.81098203497522,23.903821986620102,a
71,174,9,base,38.38859269884684,30.38318794272187,a
72,286,196,base,33.126165647034284,37.74735089150951,b
73,186,34,base,34.89414608972682,32.880907005862696,b
74,149,229,base,37.52318268732554,33.37520917497744,b
75,169,302,base,38.350518485280894,-932.3118614919003,a
76,93,286,base,39.21885898672,-932.3118614919003,a
77,110,167,base,34.97262421213488,-10.621530660109068,a
78,200,83,base,40.01742672797492,4.278254919388573,b
79,137,296,base,35.93344199700446,37.46413434173362,b
80,146,126,base,35.93247322988525,26.41377641515368,b
81,283,57,base,40.091333305818026,34.44289015345781,a
82,60,212,base,34.791516923398355,-932.3118614919003,a
83,31,202,base,35.13333387485052,38.88120914779876,a
84,114,170,base,39.76164785127565,34.74240867675907,b
85,4,349,base,39.249109260885355,35.22501678296591,b
86,322,292,base,38.74471504644234,35.44290293548092,b
87,223,276,base,39.980944209938095,35.8199705336851,b
88,81,324,base,38.067752588710974,18.70242131909165,a
89,63,78,base,38.73900944178068,33.809883549373964,a
90,236,308,base,39.30823825036375,-5.6839261687258045,a
91,117,142,base,30.245803257597128,10.530411170736329,b
92,172,317,base,36.41571931166989,35.739022141880845,b
93,201,266,base,37.25281680348492,32.33763744792645,a
94,116,343,base,39.822228558562976,21.26881615636409,a
95,128,158,base,39.11600044819863,-932.3118614919003,b
96,199,254,base,38.152292960657924,13.21012082432224,b
97,187,188,base,34.008946690621364,3.4308480884862864,a
98,231,4,base,40.942333454014395,-575.1564084504721,a
99,269,109,base,37.70230968805966,-14.912503748951107,a
100,198,124,base,37.75658002522313,40.21798668228556,b
101,135,6,base,32.806190517428796,-27.733359928247204,a
102,157,259,base,35.70327400642432,25.892749738141074,b
103,21,99,base,39.05499477422727,34.89464135016102,a
104,82,92,base,35.78964395454082,32.35740503448994,b
105,195,98,base,38.16796639843854,-707.9699416484001,b
106,36,255,base,38.57636138130966,34.04571420169214,a
107,258,181,base,38.93193060996124,38.77758118915865,b
108,71,122,base,35.80081681093354,0.451635721465685,b
109,33,249,base,37.44624037673968,39.78765593632159,a
110,288,200,base,38.93186441769146,19.125465355216296,b
111,303,287,base,37.92799136173789,36.24200567496092,a
112,13,25,base,37.31236001845932,26.68144382682967,a
113,176,258,base,39.79093072038295,29.596906238101443,a
114,51,283,base,33.74838296792376,37.489161934166304,a
115,97,193,base,28.037272086462835,7.707743692577259,b
116,179,183,base,38.95640552710232,7.901340222650816,a
117,171,152,base,36.603900813573645,33.723445284724214,b
118,191,185,base,39.05851516155795,33.31718656571879,b
119,144,84,base,33.90071691142941,29.414363540378588,a
120,345,36,base,38.18826280522604,21.865048713604292,b
121,261,166,base,39.03984019899825,24.049373390444174,a
122,229,237,base,39.10545208078875,34.854747403633645,a
123,166,43,base,38.54686092718949,38.80119643998059,a
124,294,146,base,35.76892019970197,30.44619614745613,a
125,12,118,base,40.465700494617174,-23.692540510253014,a
126,185,344,base,31.083830099043606,17.82190648015625,b
127,76,107,base,37.06892937665506,25.66365264071623,b
128,205,211,base,40.347012494366204,8.793699476358789,b
129,202,28,base,34.50008694646473,34.48119136499315,b
130,178,347,base,39.19762226921787,27.575986471977377,a
131,305,112,base,39.04152812159165,30.21475420703362,b
